Region,Day,Cases,Population
UAE,21,17,10000000
UAE,22,17,10000000
UAE,23,16,10000000
UAE,24,20,10000000
UAE,25,21,10000000
UAE,26,23,10000000
UAE,27,23,10000000
UAE,28,26,10000000
UAE,29,28,10000000
UAE,30,30,10000000
Nigeria,1,2,223000000
Nigeria,2,3,223000000
Nigeria,3,6,223000000
Nigeria,4,9,223000000
Nigeria,5,12,223000000
Nigeria,6,18,223000000
Nigeria,7,21,223000000
Nigeria,8,35,223000000
Nigeria,9,48,223000000
Nigeria,10,60,223000000
Nigeria,11,74,223000000
Nigeria,12,94,223000000
Nigeria,13,116,223000000
Nigeria,14,145,223000000
Nigeria,15,174,223000000
Nigeria,16,198,223000000
Nigeria,17,228,223000000
Nigeria,18,268,223000000
Nigeria,19,318,223000000
Nigeria,20,367,223000000
Nigeria,21,418,223000000
Nigeria,22,479,223000000
Nigeria,23,549,223000000
Nigeria,24,624,223000000
Nigeria,25,710,223000000
Nigeria,26,797,223000000
Nigeria,27,888,223000000
Nigeria,28,990,223000000
Nigeria,29,1089,223000000
Nigeria,30,1192,223000000
DRC,1,2,111000000
DRC,2,4,111000000
DRC,3,6,111000000
DRC,4,10,111000000
DRC,5,18,111000000
DRC,6,19,111000000
DRC,7,26,111000000
DRC,8,40,111000000
DRC,9,47,111000000
DRC,10,68,111000000
DRC,11,83,111000000
DRC,12,103,111000000
DRC,13,129,111000000
DRC,14,153,111000000
DRC,15,186,111000000
DRC,16,218,111000000
DRC,17,251,111000000
DRC,18,296,111000000
DRC,19,346,111000000
DRC,20,393,111000000
DRC,21,460,111000000
DRC,22,521,111000000
DRC,23,597,111000000
DRC,24,683,111000000
DRC,25,776,111000000
DRC,26,870,111000000
DRC,27,971,111000000
DRC,28,1082,111000000
DRC,29,1187,111000000
DRC,30,1299,111000000
Brazil,1,0,216000000
Brazil,2,0,216000000
Brazil,3,0,216000000
Brazil,4,0,216000000
Brazil,5,4,216000000
Brazil,6,3,216000000
Brazil,7,3,216000000
Brazil,8,0,216000000
Brazil,9,4,216000000
Brazil,10,6,216000000
Brazil,11,9,216000000
Brazil,12,9,216000000
Brazil,13,10,216000000
Brazil,14,8,216000000
Brazil,15,12,216000000
Brazil,16,14,216000000
Brazil,17,16,216000000
Brazil,18,15,216000000
Brazil,19,16,216000000
Brazil,20,20,216000000
Brazil,21,21,216000000
Brazil,22,22,216000000
Brazil,23,23,216000000
Brazil,24,26,216000000
Brazil,25,28,216000000
Brazil,26,30,216000000
Brazil,27,32,216000000
Brazil,28,34,216000000
Brazil,29,36,216000000
Brazil,30,37,216000000
UnitedStates,1,1,331000000
UnitedStates,2,2,331000000
UnitedStates,3,4,331000000
UnitedStates,4,6,331000000
UnitedStates,5,8,331000000
UnitedStates,6,10,331000000
UnitedStates,7,17,331000000
UnitedStates,8,18,331000000
UnitedStates,9,26,331000000
UnitedStates,10,42,331000000
UnitedStates,11,46,331000000
UnitedStates,12,62,331000000
UnitedStates,13,80,331000000
UnitedStates,14,88,331000000
UnitedStates,15,112,331000000
UnitedStates,16,125,331000000
UnitedStates,17,144,331000000
UnitedStates,18,168,331000000
UnitedStates,19,202,331000000
UnitedStates,20,233,331000000
UnitedStates,21,263,331000000
UnitedStates,22,304,331000000
UnitedStates,23,347,331000000
UnitedStates,24,403,331000000
UnitedStates,25,453,331000000
UnitedStates,26,504,331000000
UnitedStates,27,571,331000000
UnitedStates,28,627,331000000
UnitedStates,29,692,331000000
UnitedStates,30,764,331000000
Canada,1,0,39000000
Canada,2,0,39000000
Canada,3,0,39000000
Canada,4,1,39000000
Canada,5,0,39000000
Canada,6,0,39000000
Canada,7,2,39000000
Canada,8,0,39000000
Canada,9,2,39000000
Canada,10,0,39000000
Canada,11,0,39000000
Canada,12,2,39000000
Canada,13,1,39000000
Canada,14,0,39000000
Canada,15,0,39000000
Canada,16,1,39000000
Canada,17,0,39000000
Canada,18,0,39000000
Canada,19,0,39000000
Canada,20,0,39000000
Canada,21,2,39000000
Canada,22,0,39000000
Canada,23,1,39000000
Canada,24,0,39000000
Canada,25,0,39000000
Canada,26,2,39000000
Canada,27,2,39000000
Canada,28,0,39000000
Canada,29,0,39000000
Canada,30,0,39000000
UK,1,0,67000000
UK,2,0,67000000
UK,3,2,67000000
UK,4,0,67000000
UK,5,2,67000000
UK,6,2,67000000
UK,7,3,67000000
UK,8,0,67000000
UK,9,4,67000000
UK,10,4,67000000
UK,11,5,67000000
UK,12,7,67000000
UK,13,6,67000000
UK,14,6,67000000
UK,15,7,67000000
UK,16,10,67000000
UK,17,11,67000000
UK,18,11,67000000
UK,19,13,67000000
UK,20,13,67000000
UK,21,14,67000000
UK,22,16,67000000
UK,23,14,67000000
UK,24,17,67000000
UK,25,20,67000000
UK,26,20,67000000
UK,27,23,67000000
UK,28,22,67000000
UK,29,24,67000000
UK,30,26,67000000
France,1,0,68000000
France,2,0,68000000
France,3,0,68000000
France,4,0,68000000
France,5,3,68000000
France,6,3,68000000
France,7,2,68000000
France,8,0,68000000
France,9,4,68000000
France,10,6,68000000
France,11,7,68000000
France,12,7,68000000
France,13,8,68000000
France,14,6,68000000
France,15,10,68000000
France,16,10,68000000
France,17,11,68000000
France,18,11,68000000
France,19,13,68000000
France,20,14,68000000
France,21,17,68000000
France,22,18,68000000
France,23,17,68000000
France,24,21,68000000
France,25,23,68000000
France,26,23,68000000
France,27,24,68000000
France,28,27,68000000
France,29,27,68000000
France,30,29,68000000
Germany,1,0,84000000
Germany,2,0,84000000
Germany,3,2,84000000
Germany,4,0,84000000
Germany,5,3,84000000
Germany,6,3,84000000
Germany,7,3,84000000
Germany,8,0,84000000
Germany,9,4,84000000
Germany,10,6,84000000
Germany,11,7,84000000
Germany,12,7,84000000
Germany,13,10,84000000
Germany,14,8,84000000
Germany,15,10,84000000
Germany,16,10,84000000
Germany,17,12,84000000
Germany,18,13,84000000
Germany,19,15,84000000
Germany,20,16,84000000
Germany,21,17,84000000
Germany,22,19,84000000
Germany,23,18,84000000
Germany,24,21,84000000
Germany,25,24,84000000
Germany,26,25,84000000
Germany,27,25,84000000
Germany,28,30,84000000
Germany,29,30,84000000
Germany,30,33,84000000
Japan,1,0,125000000
Japan,2,0,125000000
Japan,3,0,125000000
Japan,4,2,125000000
Japan,5,0,125000000
Japan,6,0,125000000
Japan,7,2,125000000
Japan,8,0,125000000
Japan,9,1,125000000
Japan,10,0,125000000
Japan,11,0,125000000
Japan,12,2,125000000
Japan,13,2,125000000
Japan,14,0,125000000
Japan,15,0,125000000
Japan,16,3,125000000
Japan,17,0,125000000
Japan,18,1,125000000
Japan,19,0,125000000
Japan,20,0,125000000
Japan,21,3,125000000
Japan,22,0,125000000
Japan,23,1,125000000
Japan,24,0,125000000
Japan,25,0,125000000
Japan,26,3,125000000
Japan,27,1,125000000
Japan,28,0,125000000
Japan,29,0,125000000
Japan,30,0,125000000
Australia,1,0,26000000
Australia,2,0,26000000
Australia,3,0,26000000
Australia,4,1,26000000
Australia,5,0,26000000
Australia,6,0,26000000
Australia,7,3,26000000
Australia,8,0,26000000
Australia,9,1,26000000
Australia,10,0,26000000
Australia,11,0,26000000
Australia,12,3,26000000
Australia,13,1,26000000
Australia,14,0,26000000
Australia,15,0,26000000
Australia,16,4,26000000
Australia,17,0,26000000
Australia,18,1,26000000
Australia,19,0,26000000
Australia,20,0,26000000
Australia,21,3,26000000
Australia,22,0,26000000
Australia,23,0,26000000
Australia,24,0,26000000
Australia,25,0,26000000
Australia,26,3,26000000
Australia,27,1,26000000
Australia,28,0,26000000
Australia,29,0,26000000
Australia,30,0,26000000
Mexico,1,0,128000000
Mexico,2,0,128000000
Mexico,3,0,128000000
Mexico,4,0,128000000
Mexico,5,1,128000000
Mexico,6,1,128000000
Mexico,7,2,128000000
Mexico,8,0,128000000
Mexico,9,3,128000000
Mexico,10,2,128000000
Mexico,11,5,128000000
Mexico,12,5,128000000
Mexico,13,7,128000000
Mexico,14,6,128000000
Mexico,15,7,128000000
Mexico,16,6,128000000
Mexico,17,8,128000000
Mexico,18,8,128000000
Mexico,19,9,128000000
Mexico,20,10,128000000
Mexico,21,11,128000000
Mexico,22,13,128000000
Mexico,23,12,128000000
Mexico,24,14,128000000
Mexico,25,15,128000000
Mexico,26,16,128000000
Mexico,27,16,128000000
Mexico,28,17,128000000
Mexico,29,18,128000000
Mexico,30,20,128000000
SouthAfrica,1,2,60000000
SouthAfrica,2,3,60000000
SouthAfrica,3,5,60000000
SouthAfrica,4,8,60000000
SouthAfrica,5,11,60000000
SouthAfrica,6,13,60000000
SouthAfrica,7,26,60000000
SouthAfrica,8,27,60000000
SouthAfrica,9,41,60000000
SouthAfrica,10,54,60000000
SouthAfrica,11,67,60000000
SouthAfrica,12,85,60000000
SouthAfrica,13,107,60000000
SouthAfrica,14,130,60000000
SouthAfrica,15,154,60000000
SouthAfrica,16,177,60000000
SouthAfrica,17,210,60000000
SouthAfrica,18,247,60000000
SouthAfrica,19,285,60000000
SouthAfrica,20,330,60000000
SouthAfrica,21,382,60000000
SouthAfrica,22,435,60000000
SouthAfrica,23,500,60000000
SouthAfrica,24,569,60000000
SouthAfrica,25,644,60000000
SouthAfrica,26,725,60000000
SouthAfrica,27,810,60000000
SouthAfrica,28,899,60000000
SouthAfrica,29,990,60000000
SouthAfrica,30,1089,60000000
Turkey,1,0,85000000
Turkey,2,0,85000000
Turkey,3,0,85000000
Turkey,4,1,85000000
Turkey,5,0,85000000
Turkey,6,0,85000000
Turkey,7,3,85000000
Turkey,8,0,85000000
Turkey,9,2,85000000
Turkey,10,0,85000000
Turkey,11,0,85000000
Turkey,12,2,85000000
Turkey,13,2,85000000
Turkey,14,0,85000000
Turkey,15,0,85000000
Turkey,16,3,85000000
Turkey,17,0,85000000
Turkey,18,2,85000000
Turkey,19,0,85000000
Turkey,20,0,85000000
Turkey,21,1,85000000
Turkey,22,0,85000000
Turkey,23,2,85000000
Turkey,24,0,85000000
Turkey,25,0,85000000
Turkey,26,2,85000000
Turkey,27,1,85000000
Turkey,28,0,85000000
Turkey,29,0,85000000
Turkey,30,1,85000000
Indonesia,1,0,277000000
Indonesia,2,0,277000000
Indonesia,3,2,277000000
Indonesia,4,0,277000000
Indonesia,5,2,277000000
Indonesia,6,2,277000000
Indonesia,7,3,277000000
Indonesia,8,0,277000000
Indonesia,9,4,277000000
Indonesia,10,5,277000000
Indonesia,11,5,277000000
Indonesia,12,6,277000000
Indonesia,13,8,277000000
Indonesia,14,8,277000000
Indonesia,15,10,277000000
Indonesia,16,10,277000000
Indonesia,17,12,277000000
Indonesia,18,12,277000000
Indonesia,19,13,277000000
Indonesia,20,14,277000000
Indonesia,21,16,277000000
Indonesia,22,18,277000000
Indonesia,23,17,277000000
Indonesia,24,20,277000000
Indonesia,25,22,277000000
Indonesia,26,22,277000000
Indonesia,27,23,277000000
Indonesia,28,26,277000000
Indonesia,29,28,277000000
Indonesia,30,28,277000000
Argentina,1,0,46000000
Argentina,2,0,46000000
Argentina,3,0,46000000
Argentina,4,1,46000000
Argentina,5,0,46000000
Argentina,6,0,46000000
Argentina,7,1,46000000
Argentina,8,0,46000000
Argentina,9,2,46000000
Argentina,10,0,46000000
Argentina,11,0,46000000
Argentina,12,2,46000000
Argentina,13,1,46000000
Argentina,14,0,46000000
Argentina,15,0,46000000
Argentina,16,3,46000000
Argentina,17,0,46000000
Argentina,18,2,46000000
Argentina,19,0,46000000
Argentina,20,0,46000000
Argentina,21,3,46000000
Argentina,22,0,46000000
Argentina,23,1,46000000
Argentina,24,0,46000000
Argentina,25,0,46000000
Argentina,26,3,46000000
Argentina,27,1,46000000
Argentina,28,0,46000000
Argentina,29,0,46000000
Argentina,30,2,46000000
Italy,1,0,59000000
Italy,2,0,59000000
Italy,3,0,59000000
Italy,4,0,59000000
Italy,5,1,59000000
Italy,6,2,59000000
Italy,7,5,59000000
Italy,8,0,59000000
Italy,9,5,59000000
Italy,10,6,59000000
Italy,11,7,59000000
Italy,12,8,59000000
Italy,13,9,59000000
Italy,14,8,59000000
Italy,15,12,59000000
Italy,16,12,59000000
Italy,17,14,59000000
Italy,18,12,59000000
Italy,19,16,59000000
Italy,20,18,59000000
Italy,21,18,59000000
Italy,22,22,59000000
Italy,23,19,59000000
Italy,24,24,59000000
Italy,25,25,59000000
Italy,26,29,59000000
Italy,27,30,59000000
Italy,28,30,59000000
Italy,29,31,59000000
Italy,30,36,59000000
SaudiArabia,1,0,36000000
SaudiArabia,2,0,36000000
SaudiArabia,3,1,36000000
SaudiArabia,4,0,36000000
SaudiArabia,5,3,36000000
SaudiArabia,6,2,36000000
SaudiArabia,7,4,36000000
SaudiArabia,8,0,36000000
SaudiArabia,9,5,36000000
SaudiArabia,10,6,36000000
SaudiArabia,11,9,36000000
SaudiArabia,12,10,36000000
SaudiArabia,13,9,36000000
SaudiArabia,14,8,36000000
SaudiArabia,15,12,36000000
SaudiArabia,16,13,36000000
SaudiArabia,17,17,36000000
SaudiArabia,18,15,36000000
SaudiArabia,19,18,36000000
SaudiArabia,20,20,36000000
SaudiArabia,21,21,36000000
SaudiArabia,22,23,36000000
SaudiArabia,23,22,36000000
SaudiArabia,24,26,36000000
SaudiArabia,25,30,36000000
SaudiArabia,26,29,36000000
SaudiArabia,27,32,36000000
SaudiArabia,28,35,36000000
SaudiArabia,29,34,36000000
SaudiArabia,30,38,36000000
